################################################################################
# Voter Autrement 2017
################################################################################
#
# This dataset Voter Autrement is made available under the Open Database
# License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in
# individual contents of the database are licensed under the Database
# Contents License: http://opendatacommons.org/licenses/dbcl/1.0/
#
# Antoinette Baujard, GATE Lyon Saint-Étienne, Université Jean Monnet, Saint-Étienne
# Renaud Blanch, LIG, Univ. Grenoble-Alpes
# Sylvain Bouveret, LIG, Univ. Grenoble-Alpes
# François Durand, LAMSADE, Université Paris-Dauphine
# Herrade Igersheim, CNRS, BETA, Université de Strasbourg
# Jérôme Lang, LAMSADE CNRS, Université Paris-Dauphine
# Annick Laruelle, UPV-EHU, Universidad del País Vasco
# Jean-François Laslier, CNRS, Paris School of Economics
# Isabelle Lebon, CREM, Universités Caen-Normandie et Rennes 1
# Vincent Merlin, CNRS, CREM, Universités Caen-Normandie et Rennes 1
#
################################################################################
#
# Dataset: Online experiment approval voting.
# Format: CSV with header
#
# Participants were asked to tick the candidates they approve. Meaning of the scores:
# 0 = not approved / 1 = approved
#
# * Column 1: Voter number
# * Column 2: score of Nathalie Arthaud
# * Column 3: score of François Asselineau
# * Column 4: score of Jacques Cheminade
# * Column 5: score of Nicolas Dupont-Aignan
# * Column 6: score of François Fillon
# * Column 7: score of Benoît Hamon
# * Column 8: score of Jean Lassalle
# * Column 9: score of Marine Le Pen
# * Column 10: score of Emmanuel Macron
# * Column 11: score of Jean-Luc Mélenchon
# * Column 12: score of Philippe Poutou
# * Column 13: vote at the first round of the official election (extracted from the questionnaire)
#
################################################################################
Voter,Nathalie Arthaud,François Asselineau,Jacques Cheminade,Nicolas Dupont-Aignan,François Fillon,Benoît Hamon,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Mélenchon,Philippe Poutou,official vote
Voter 17657,0,0,0,0,0,0,1,0,1,0,0,ne se prononce pas
Voter 8972,0,0,0,0,0,0,0,0,1,0,0,Emmanuel Macron
Voter 16006,0,0,0,0,0,1,0,0,1,1,1,Emmanuel Macron
Voter 26754,0,0,0,0,0,1,0,0,1,0,0,Emmanuel Macron
Voter 15636,0,0,0,0,0,1,0,0,1,0,0,Emmanuel Macron
Voter 2718,0,0,0,0,1,0,0,0,1,0,0,Emmanuel Macron
Voter 25779,0,0,0,0,1,1,1,0,1,0,0,Emmanuel Macron
Voter 2588,1,0,0,0,0,1,1,0,1,1,1,Benoît Hamon
Voter 27205,0,0,0,0,0,0,0,0,1,0,0,Emmanuel Macron
Voter 10998,0,0,0,0,0,1,0,0,1,1,0,Emmanuel Macron
Voter 665,0,0,0,0,0,1,0,0,1,1,0,Jean-Luc Mélenchon
Voter 15688,0,0,0,0,0,1,0,0,0,1,1,Benoît Hamon
Voter 9099,1,0,0,0,0,1,0,0,0,1,1,Jean-Luc Mélenchon
Voter 26090,0,0,0,0,0,1,0,0,0,1,0,Jean-Luc Mélenchon
Voter 18790,0,0,0,0,0,1,1,0,1,0,0,Emmanuel Macron
Voter 4789,1,0,0,0,0,1,0,0,0,1,1,
Voter 32032,0,0,0,0,0,1,0,0,1,0,1,Emmanuel Macron
Voter 11624,0,1,0,1,1,0,0,0,1,0,0,blanc
Voter 6246,0,0,0,0,1,0,0,0,1,0,0,incertitude
Voter 13859,0,0,0,0,0,0,0,0,0,1,0,Jean-Luc Mélenchon
Voter 18521,0,0,0,0,0,1,0,0,0,1,1,non inscrit
Voter 15815,0,0,0,0,0,1,0,0,1,1,0,Jean-Luc Mélenchon
Voter 12609,0,0,0,0,0,1,0,0,0,0,0,Benoît Hamon
Voter 18524,0,0,0,0,0,1,0,0,0,1,0,Benoît Hamon
Voter 13601,0,0,0,0,1,0,0,0,0,0,0,François Fillon
Voter 10758,1,0,0,0,0,1,1,0,1,1,1,Jean-Luc Mélenchon
Voter 13968,0,0,0,0,1,0,0,0,1,0,1,François Fillon
Voter 1517,0,0,0,0,0,1,0,0,0,1,0,Benoît Hamon
Voter 1365,1,0,0,0,0,1,0,0,0,1,1,abstention
Voter 12558,1,0,0,0,1,1,0,1,1,1,1,Emmanuel Macron
Voter 12691,0,0,0,0,0,1,0,0,0,0,1,Benoît Hamon
Voter 33908,1,0,0,0,0,1,0,0,0,1,1,Jean-Luc Mélenchon
Voter 1555,0,0,0,0,0,0,0,0,1,0,0,Emmanuel Macron
Voter 17615,0,0,0,1,1,0,1,1,0,0,0,incertitude
Voter 33608,0,0,0,0,0,1,0,0,0,1,1,Jean-Luc Mélenchon
Voter 17473,0,0,1,0,0,0,0,0,0,1,1,Jean-Luc Mélenchon
Voter 1843,0,0,0,0,0,0,0,0,0,0,0,Emmanuel Macron
Voter 7594,1,0,0,0,0,0,0,0,0,1,1,Philippe Poutou
Voter 960,0,0,0,0,0,1,0,0,1,0,0,Emmanuel Macron
Voter 1475,0,0,0,0,0,1,0,0,0,1,0,Jean-Luc Mélenchon
Voter 15914,0,0,0,0,0,1,0,0,0,0,0,Benoît Hamon
Voter 12195,0,0,0,0,1,0,0,0,1,0,0,Emmanuel Macron
Voter 23790,1,0,0,0,0,1,0,0,0,0,1,incertitude
Voter 23170,1,0,0,0,0,1,0,0,0,1,1,Jean-Luc Mélenchon
Voter 143,0,0,0,0,0,0,0,1,0,0,0,Marine Le Pen
Voter 13500,0,0,0,0,0,1,0,0,0,1,0,Jean-Luc Mélenchon
Voter 12014,0,0,0,0,0,0,0,0,0,0,0,incertitude
Voter 12087,0,0,0,0,0,0,0,0,0,1,1,Philippe Poutou
Voter 497,0,0,0,0,0,1,0,0,0,1,0,Benoît Hamon
Voter 20607,0,0,0,0,0,1,0,0,0,1,1,Jean-Luc Mélenchon
Voter 32753,0,0,0,0,0,1,0,0,1,1,0,Emmanuel Macron
Voter 25046,0,0,0,0,0,0,0,0,0,1,1,Jean-Luc Mélenchon
Voter 12756,0,0,0,0,0,1,0,0,0,0,0,Benoît Hamon
Voter 21326,1,0,0,0,0,1,0,0,0,1,0,Benoît Hamon
Voter 605,0,0,0,0,1,0,0,0,1,0,0,abstention
Voter 21455,0,0,0,0,0,0,0,0,0,0,1,Philippe Poutou
Voter 23932,0,0,0,0,0,1,0,0,1,0,1,Benoît Hamon
Voter 12567,1,0,0,0,0,1,0,0,0,1,1,Jean-Luc Mélenchon
Voter 15633,0,0,0,0,0,1,0,0,0,1,1,Benoît Hamon
Voter 22858,0,0,0,0,0,0,0,0,0,0,0,blanc
Voter 8123,0,0,0,0,0,1,1,0,0,1,1,Jean-Luc Mélenchon
Voter 24384,0,0,0,0,0,1,0,0,1,1,0,Jean-Luc Mélenchon
Voter 15743,0,0,0,0,0,1,0,0,1,1,0,Jean-Luc Mélenchon
Voter 30508,1,1,1,1,0,1,1,0,0,1,1,Jean-Luc Mélenchon
Voter 5122,0,0,0,0,0,1,0,0,0,1,0,Benoît Hamon
Voter 31707,0,0,0,0,0,1,0,0,1,0,0,Emmanuel Macron
Voter 13397,0,0,1,1,1,0,1,0,1,0,0,incertitude
Voter 7763,1,1,1,1,0,1,1,0,1,1,1,Benoît Hamon
Voter 5555,0,0,0,0,0,0,0,0,0,0,0,incertitude
Voter 34171,0,0,0,0,0,1,0,0,1,0,0,Emmanuel Macron
Voter 7729,0,0,0,0,0,0,0,0,0,0,0,Marine Le Pen
Voter 16759,0,0,0,0,0,0,0,0,1,0,0,Emmanuel Macron
Voter 26472,0,0,0,0,1,1,1,0,1,0,0,François Fillon
Voter 7120,0,0,0,0,0,1,0,0,1,1,1,incertitude
Voter 13994,0,0,0,1,0,1,0,0,1,1,0,Emmanuel Macron
Voter 304,0,0,0,0,0,0,0,0,1,0,0,Emmanuel Macron
Voter 8365,0,0,0,0,1,0,0,1,0,0,0,François Fillon
Voter 3298,0,0,0,0,1,0,0,0,1,0,0,Emmanuel Macron
Voter 9163,0,0,0,0,0,1,1,0,0,1,0,Benoît Hamon
Voter 25892,0,0,0,0,0,1,0,0,1,1,1,Philippe Poutou
Voter 16106,0,0,0,0,0,1,0,0,1,1,0,incertitude
Voter 1438,0,0,0,0,0,0,0,0,0,1,1,Jean-Luc Mélenchon
Voter 31029,0,1,0,0,0,1,0,0,1,1,0,Emmanuel Macron
Voter 26439,0,0,0,0,0,1,0,0,0,1,0,
Voter 3311,0,0,0,0,0,1,0,0,1,1,0,Jean-Luc Mélenchon
Voter 20528,1,0,0,0,0,0,0,0,0,1,1,Jean-Luc Mélenchon
Voter 21068,0,0,0,0,1,0,0,0,1,0,0,François Fillon
Voter 22700,0,0,0,0,0,1,0,0,1,1,1,Emmanuel Macron
Voter 26783,0,0,0,0,1,0,0,0,1,1,0,Emmanuel Macron
Voter 6938,0,0,0,0,0,1,0,0,1,1,0,blanc
Voter 23588,0,0,0,0,0,1,0,0,0,1,0,incertitude
Voter 14277,0,0,0,0,0,1,0,0,0,1,1,Jean-Luc Mélenchon
Voter 1849,0,0,0,0,0,1,0,0,0,0,0,incertitude
Voter 15307,0,0,0,0,0,1,0,0,0,1,1,Benoît Hamon
Voter 20963,0,0,0,0,0,1,0,0,0,1,0,Jean-Luc Mélenchon
Voter 12258,0,0,0,0,0,1,1,0,1,0,0,Jacques Cheminade
Voter 8245,0,0,0,0,0,1,0,0,0,0,1,Benoît Hamon
Voter 33583,1,0,0,0,0,1,0,0,0,1,1,Jean-Luc Mélenchon
Voter 14514,0,0,0,0,0,0,0,0,0,1,0,Jean-Luc Mélenchon
Voter 29690,1,0,0,0,0,0,0,0,0,0,1,Philippe Poutou
Voter 8299,1,0,0,0,0,1,1,0,0,1,1,Philippe Poutou
Voter 7980,0,0,0,0,1,1,0,0,1,0,0,Emmanuel Macron
Voter 29182,0,0,0,0,0,1,0,0,1,0,0,Emmanuel Macron
Voter 20194,0,0,0,0,1,0,0,0,0,0,0,François Fillon
Voter 3176,0,0,0,0,0,0,0,0,0,0,0,Philippe Poutou
Voter 13116,1,0,0,0,0,1,0,0,0,1,0,Jean-Luc Mélenchon
Voter 21549,0,0,0,0,0,1,0,0,1,0,1,Benoît Hamon
Voter 27342,0,0,0,0,0,0,0,0,0,1,0,abstention
Voter 20795,0,0,1,0,0,1,1,0,1,0,0,Emmanuel Macron
Voter 17452,0,1,0,0,0,1,0,0,0,1,0,Jean-Luc Mélenchon
Voter 7926,0,1,0,0,0,0,0,0,0,0,0,François Asselineau
Voter 25877,0,0,0,0,0,1,0,0,1,1,0,Emmanuel Macron
Voter 26596,0,0,0,0,0,1,0,0,0,0,0,Benoît Hamon
Voter 8630,0,0,0,0,0,1,0,0,1,0,0,incertitude
Voter 755,0,0,0,0,0,1,0,0,0,1,0,Jean-Luc Mélenchon
Voter 3261,0,0,0,0,0,1,0,0,0,1,0,incertitude
Voter 17058,0,0,0,0,1,0,0,0,1,0,0,François Fillon
Voter 13944,1,0,0,0,0,0,0,0,0,1,1,Philippe Poutou
Voter 28937,1,0,0,0,0,1,1,0,1,1,1,abstention
Voter 20483,0,0,1,1,1,0,0,0,1,0,0,François Fillon
Voter 210,0,0,0,0,0,0,0,0,1,0,0,Emmanuel Macron
Voter 9298,0,0,0,0,0,1,0,0,0,1,0,Benoît Hamon
Voter 37463,0,0,0,0,0,0,0,0,1,1,0,
Voter 19852,0,0,0,0,1,0,0,0,1,0,0,François Fillon
Voter 9952,0,0,0,0,0,1,0,0,1,0,0,Emmanuel Macron
Voter 31838,0,1,0,0,0,1,0,0,0,1,0,Jean-Luc Mélenchon
Voter 15729,0,0,1,1,0,1,0,0,0,1,1,Jean-Luc Mélenchon
Voter 29736,0,0,0,0,0,0,0,0,1,0,0,Emmanuel Macron
Voter 4958,1,1,0,0,0,0,0,0,0,1,1,Jean-Luc Mélenchon
Voter 29497,0,0,0,0,0,1,0,0,0,1,0,Jean-Luc Mélenchon
Voter 29110,1,0,0,0,0,0,0,0,0,1,1,Jean-Luc Mélenchon
Voter 29025,0,0,0,0,0,1,0,0,0,1,1,Jean-Luc Mélenchon
Voter 11376,0,0,0,0,0,1,0,0,1,1,1,Jean-Luc Mélenchon
Voter 31301,0,0,0,0,0,0,0,0,0,1,1,Jean-Luc Mélenchon
Voter 18683,0,0,0,0,0,1,0,0,0,1,1,Jean-Luc Mélenchon
Voter 14332,0,0,0,0,0,1,0,0,0,0,0,Benoît Hamon
Voter 6584,1,0,0,0,0,1,0,0,1,1,1,Benoît Hamon
Voter 1472,0,0,0,0,1,0,0,0,1,0,0,incertitude
Voter 28973,0,0,0,0,0,1,0,0,0,1,1,Jean-Luc Mélenchon
Voter 3717,0,0,0,0,0,1,0,0,1,0,0,Emmanuel Macron
Voter 17067,0,0,0,0,1,0,0,0,1,0,0,Emmanuel Macron
Voter 30226,1,0,0,0,0,1,0,0,0,1,1,Benoît Hamon
Voter 30770,1,0,0,0,0,1,1,0,0,1,1,Jean-Luc Mélenchon
Voter 10864,1,1,0,0,0,1,1,0,0,1,0,Jean-Luc Mélenchon
Voter 11051,0,0,0,0,1,0,1,0,1,0,0,Emmanuel Macron
Voter 2339,0,0,0,0,0,1,1,0,0,1,0,Benoît Hamon
Voter 23966,0,0,0,0,0,0,0,0,0,1,0,Jean-Luc Mélenchon
