################################################################################
# Voter Autrement 2017
################################################################################
#
# This dataset Voter Autrement is made available under the Open Database
# License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in
# individual contents of the database are licensed under the Database
# Contents License: http://opendatacommons.org/licenses/dbcl/1.0/
#
# Antoinette Baujard, GATE Lyon Saint-Étienne, Université Jean Monnet, Saint-Étienne
# Renaud Blanch, LIG, Univ. Grenoble-Alpes
# Sylvain Bouveret, LIG, Univ. Grenoble-Alpes
# François Durand, LAMSADE, Université Paris-Dauphine
# Herrade Igersheim, CNRS, BETA, Université de Strasbourg
# Jérôme Lang, LAMSADE CNRS, Université Paris-Dauphine
# Annick Laruelle, UPV-EHU, Universidad del País Vasco
# Jean-François Laslier, CNRS, Paris School of Economics
# Isabelle Lebon, CREM, Universités Caen-Normandie et Rennes 1
# Vincent Merlin, CNRS, CREM, Universités Caen-Normandie et Rennes 1
#
################################################################################
#
# Dataset: Online experiment Post first-round Questionnaire
# Format: CSV with header
#
# The questionnaire filled-in by the participants at the end of the experiment (version
# proposed to the participants after the first round of the official election)
# For most questions, the participants were free not to answer at all (empty value)
# or explicitly they do not want to answer (value "nspp").
#
# * Column 1: Voter number
# * Colums 2-12: Appreciation of voting methods (-2, -1, 0, 1, 2) (NP) means that the
#   voter did not test this method. No value means that the voter did not answer.
#   - Column 2: Approval
#   - Column 3: Evaluation 0/1/2
#   - Column 4: Evaluation 0/1/2/3
#   - Column 5: Evaluation -1/0/1/2
#   - Column 6: Evaluation -1/0/1
#   - Column 7: Borda 4
#   - Column 8: STV 4-11
#   - Column 9: STV 1-11
#   - Column 10: Evaluation Continuous
#   - Column 11: Condorcet
#   - Column 12: two round majority
# * Column 13: what did you do at the first round of the official election?
#   (vote for candidate X / blanc = blank / abstention = abstain / ni = I do not have the right to vote / nspp)
# * Column 14: did you vote sincerely? (t = yes / f = no)
# * Column 15: did you vote strategically? (t = yes / f = no)
# * Column 16: did you have another motivation? (free text)
# * Column 17: now that you know the results of the first round, do you think you did the right choice?
#   (-2 = not at all / -1 = rather not / 1 = rather yes / 2 = absolutely)
# * Column 18: if you could revote, what would you do? (vote for candidate X / blanc = blank /
#   abstention = abstain / ni = I do not have the right to vote / nspp)
# * Column 19: if you are noty satisfied, is it because you should have voted sincerely? (t = yes / f = no)
# * Column 20: if you are noty satisfied, is it because you should have voted strategically? (t = yes / f = no)
# * Column 21: if you are noty satisfied, is it for another reason? (free text)
# * Column 22: What do you plan to do for the second round of the official election?
#   (vote for candidate X / blanc = blank / abstention = abstain / ni = I do not have the right to vote / nspp)
# * Column 23: vote is a right (t = yes / f = no)
# * Column 24: vote is a duty (t = yes / f = no)
# * Column 25: vote is a chance (t = yes / f = no)
# * Column 26: vote is useful (t = yes / f = no)
# * Column 27: evaluate your position on a left / right axis (0 = left ... 10 = right)
# * Column 28: age group (18-29, 30-39, 40-49, 50-59, 60-69, 70)
# * Column 29: gender (h = male / f = female)
# * Column 30: level of education (primaire = basic / secondaire = intermediate / superieur = higher)
# * Column 31: socio-professional category (liberal = "profession libérale", approximately self-employed
#   independent profession / prive = employee in the private sector /
#   public = employee in the public sector / chomage = unemployed / etudiant = student / autre = other)
#
################################################################################
"Voter","Appreciation Approval","Appreciation Evaluation 0/1/2","Appreciation Evaluation 0/1/2/3","Appreciation Evaluation -1/0/1/2","Appreciation Evaluation -1/0/1","Appreciation Borda 4","Appreciation STV 4-11","Appreciation STV 1-11","Appreciation Evaluation Continuous","Appreciation Condorcet","Appreciation two round majority","official vote","I voted sincerely","I voted strategically","Other motivation","Regret evaluation","I should have voted...","I should have voted sincerely","I should have voted strategically","I should have voted otherwise","second round","vote is a right","vote is a duty","vote is a chance","vote is useful","left right","age","gender","studies","socioprofessional"
"Voter 30153","1","(NP)","1","(NP)","(NP)","(NP)","1","(NP)","","","0","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","f","f","t","0","18-29","h","superieur","prive"
"Voter 30154","(NP)","1","(NP)","(NP)","-1","(NP)","0","(NP)","","","1","abstention","f","f","","1","Jean-Luc Mélenchon","t","f","","abstention","t","f","f","t","1","30-39","h","primaire","chomage"
"Voter 30155","2","(NP)","-1","(NP)","(NP)","1","(NP)","(NP)","","","-1","Benoît Hamon","t","f","","2","Benoît Hamon","f","f","Je suis satisfait","blanc","t","t","t","t","0","40-49","h","superieur","public"
"Voter 30156","(NP)","(NP)","2","2","(NP)","(NP)","-2","(NP)","","","","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","blanc","t","t","t","t","0","18-29","h","superieur","etudiant"
"Voter 30157","1","(NP)","(NP)","-1","(NP)","(NP)","(NP)","1","","","-1","Jean-Luc Mélenchon","t","t","","2","Jean-Luc Mélenchon","f","f","","blanc","t","t","t","","1","18-29","h","superieur","etudiant"
"Voter 30158","(NP)","1","(NP)","(NP)","-1","(NP)","(NP)","1","","","-1","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","t","t","t","3","18-29","f","superieur","etudiant"
"Voter 30159","1","(NP)","(NP)","-1","(NP)","(NP)","1","(NP)","","","-1","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","abstention","t","t","t","t","3","18-29","f","superieur","autre"
"Voter 30160","1","(NP)","0","(NP)","(NP)","(NP)","1","(NP)","","","-1","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","abstention","t","","","","2","40-49","h","superieur","prive"
"Voter 30161","(NP)","(NP)","1","1","(NP)","(NP)","(NP)","1","","","-1","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","blanc","t","","t","t","1","18-29","h","superieur","autre"
"Voter 30162","1","(NP)","(NP)","(NP)","1","(NP)","(NP)","1","","","-1","Jacques Cheminade","t","f","","-1","Jean-Luc Mélenchon","f","t","","blanc","t","t","t","t","4","18-29","h","primaire","etudiant"
"Voter 30163","(NP)","(NP)","","","(NP)","","(NP)","(NP)","","","","Jean-Luc Mélenchon","f","f","","","","f","f","","","","","","","","","","",""
"Voter 30164","(NP)","(NP)","0","0","(NP)","1","(NP)","(NP)","","","-2","Jean-Luc Mélenchon","f","t","","1","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","f","t","f","4","30-39","h","secondaire","prive"
"Voter 30165","(NP)","0","(NP)","(NP)","0","0","(NP)","(NP)","","","-1","abstention","f","f","","","abstention","f","f","","abstention","t","f","t","t","5","30-39","h","superieur","prive"
"Voter 30166","(NP)","-2","(NP)","(NP)","-2","2","(NP)","(NP)","","","-1","Benoît Hamon","f","f","","2","Benoît Hamon","f","f","","blanc","t","t","t","t","3","30-39","h","superieur","liberal"
"Voter 30167","1","(NP)","(NP)","0","(NP)","(NP)","(NP)","1","","","-2","Jean-Luc Mélenchon","f","f","J'ai fait don de mon vote a une personne ne l'ayant pas, et avec qui je partage des valeur","2","Jean-Luc Mélenchon","f","f","","ne se prononce pas","t","f","f","f","0","30-39","f","superieur","prive"
"Voter 30168","(NP)","1","(NP)","(NP)","1","(NP)","2","(NP)","","","-1","Benoît Hamon","t","f","","-1","Jean-Luc Mélenchon","f","t","","blanc","t","t","t","t","1","30-39","h","superieur","public"
"Voter 30169","(NP)","-1","(NP)","(NP)","-1","1","(NP)","(NP)","","","2","Benoît Hamon","t","f","","1","Benoît Hamon","f","f","","Emmanuel Macron","t","f","t","t","2","18-29","h","superieur","prive"
"Voter 30170","(NP)","0","(NP)","(NP)","1","(NP)","1","(NP)","","","1","Benoît Hamon","t","f","","1","Benoît Hamon","f","t","","Emmanuel Macron","t","t","t","t","2","18-29","f","superieur","prive"
"Voter 30171","(NP)","(NP)","1","2","(NP)","(NP)","0","(NP)","","","0","Jean-Luc Mélenchon","f","t","","1","Benoît Hamon","t","f","","Emmanuel Macron","t","t","t","f","3","18-29","h","superieur","prive"
"Voter 30172","(NP)","","(NP)","(NP)","","","(NP)","(NP)","","","","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","","","","","","","","",""
"Voter 30173","(NP)","1","(NP)","(NP)","-1","(NP)","(NP)","1","","","2","Benoît Hamon","t","f","","-1","Jean-Luc Mélenchon","f","t","","blanc","t","f","t","t","3","18-29","f","superieur","etudiant"
"Voter 30174","1","(NP)","(NP)","1","(NP)","2","(NP)","(NP)","","","-2","Jean-Luc Mélenchon","f","t","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","t","t","f","1","40-49","f","superieur","public"
"Voter 30175","-1","(NP)","-1","(NP)","(NP)","0","(NP)","(NP)","","","-2","Benoît Hamon","t","f","","2","Benoît Hamon","f","f","","Emmanuel Macron","t","t","t","t","0","18-29","f","superieur","chomage"
"Voter 30176","(NP)","1","(NP)","(NP)","1","(NP)","1","(NP)","","","0","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","blanc","t","","t","","1","18-29","h","superieur","etudiant"
"Voter 30177","1","(NP)","(NP)","-1","(NP)","(NP)","-1","(NP)","","","1","Emmanuel Macron","t","f","","2","","f","f","","Emmanuel Macron","t","t","t","t","8","18-29","f","superieur","public"
"Voter 30178","(NP)","(NP)","-1","0","(NP)","1","(NP)","(NP)","","","-1","Jean-Luc Mélenchon","f","t","","2","Jean-Luc Mélenchon","f","f","","abstention","t","t","t","t","0","18-29","f","superieur","etudiant"
"Voter 30179","1","(NP)","(NP)","(NP)","0","1","(NP)","(NP)","","","-2","Nathalie Arthaud","t","f","","2","Nathalie Arthaud","f","f","","abstention","t","f","t","t","0","50-59","h","superieur","prive"
"Voter 30180","(NP)","(NP)","0","1","(NP)","(NP)","(NP)","1","","","-1","Benoît Hamon","t","f","","1","Benoît Hamon","f","t","","Emmanuel Macron","t","t","t","t","3","30-39","f","superieur","public"
"Voter 30181","(NP)","1","(NP)","(NP)","2","(NP)","-1","(NP)","","","-1","Jean-Luc Mélenchon","f","t","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","t","t","t","0","18-29","f","superieur","autre"
"Voter 30182","2","(NP)","(NP)","1","(NP)","(NP)","(NP)","-1","","","-1","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","f","t","t","","18-29","","superieur","public"
"Voter 30183","0","(NP)","(NP)","1","(NP)","1","(NP)","(NP)","","","-1","Jean-Luc Mélenchon","t","f","","1","Jean-Luc Mélenchon","f","f","","blanc","t","t","t","t","3","18-29","f","superieur","etudiant"
"Voter 30184","(NP)","0","(NP)","(NP)","0","(NP)","2","(NP)","","","-2","Jean-Luc Mélenchon","t","t","","2","Jean-Luc Mélenchon","f","f","","blanc","t","t","f","f","2","30-39","h","superieur","prive"
"Voter 30185","(NP)","(NP)","-1","-1","(NP)","(NP)","-1","(NP)","","","-1","Emmanuel Macron","f","f","Ayant peser le pour et le contre de chaque programme cela ma sembler le meilleur compromis","1","François Fillon","f","f","","Emmanuel Macron","t","t","t","t","5","18-29","h","superieur","etudiant"
"Voter 30186","(NP)","(NP)","0","0","(NP)","0","(NP)","(NP)","","","-1","Jean-Luc Mélenchon","f","t","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","t","t","t","2","18-29","f","superieur","prive"
"Voter 30187","0","(NP)","(NP)","(NP)","0","(NP)","(NP)","0","","","0","abstention","f","f","","-1","Marine Le Pen","f","f","","Marine Le Pen","t","t","t","t","5","18-29","h","nspp","prive"
"Voter 30188","2","(NP)","(NP)","(NP)","0","(NP)","(NP)","1","","","-1","Marine Le Pen","t","f","","2","Marine Le Pen","f","f","","Marine Le Pen","t","t","f","f","5","18-29","h","superieur","chomage"
"Voter 30189","(NP)","(NP)","2","2","(NP)","(NP)","(NP)","1","","","-1","non inscrit","f","f","","-2","Jean-Luc Mélenchon","f","f","","non inscrit","t","f","t","t","0","30-39","f","superieur","public"
"Voter 30190","1","(NP)","(NP)","(NP)","1","1","(NP)","(NP)","","","-2","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","blanc","t","f","t","t","1","30-39","h","superieur","nspp"
"Voter 30191","2","(NP)","(NP)","(NP)","2","(NP)","2","(NP)","","","2","Marine Le Pen","t","t","","2","Marine Le Pen","f","f","","Marine Le Pen","t","t","t","t","","18-29","h","superieur","liberal"
"Voter 30192","1","(NP)","(NP)","(NP)","-1","(NP)","(NP)","0","","","0","Jean-Luc Mélenchon","t","t","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","f","t","t","2","18-29","h","secondaire","etudiant"
"Voter 30193","-2","(NP)","(NP)","(NP)","-2","(NP)","(NP)","0","","","-2","François Asselineau","t","f","","2","François Asselineau","f","f","","abstention","t","t","t","f","3","40-49","h","superieur","public"
"Voter 30194","(NP)","0","(NP)","(NP)","0","(NP)","0","(NP)","","","-1","non inscrit","f","f","","","Benoît Hamon","f","f","","non inscrit","t","f","t","t","3","18-29","h","secondaire","chomage"
"Voter 30195","1","(NP)","(NP)","1","(NP)","(NP)","-1","(NP)","","","-2","François Asselineau","t","f","C'est le seul candidat qui peut sortir la France du piège de l'Union Européenne","2","François Asselineau","f","f","","blanc","","","","f","5","18-29","f","superieur",""
"Voter 30196","(NP)","0","(NP)","(NP)","0","(NP)","(NP)","0","","","1","Benoît Hamon","t","f","","1","Benoît Hamon","f","t","","Emmanuel Macron","t","t","t","t","3","18-29","f","superieur","etudiant"
"Voter 30197","1","(NP)","(NP)","-1","(NP)","(NP)","-2","(NP)","","","1","François Fillon","t","t","Je ne veux plus de la gauche au pouvoir","2","François Fillon","f","f","","Marine Le Pen","t","t","t","t","9","30-39","h","superieur","prive"
"Voter 30198","","(NP)","(NP)","","(NP)","(NP)","","(NP)","","","","","f","f","","","","f","f","","","","","","","","","","",""
"Voter 30199","(NP)","","(NP)","(NP)","","","(NP)","(NP)","","","","Jean-Luc Mélenchon","f","t","","2","Jean-Luc Mélenchon","f","f","","blanc","t","","","","0","50-59","h","superieur","chomage"
"Voter 30200","(NP)","(NP)","-1","0","(NP)","1","(NP)","(NP)","","","-1","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","blanc","t","t","t","t","3","30-39","f","superieur","autre"
"Voter 30201","(NP)","(NP)","0","-1","(NP)","(NP)","(NP)","1","","","-1","Marine Le Pen","f","t","","2","Nicolas Dupont-Aignan","t","f","","Marine Le Pen","t","f","t","f","8","18-29","h","superieur","etudiant"
"Voter 30202","(NP)","(NP)","","","(NP)","(NP)","(NP)","","","","-1","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","Marine Le Pen","t","t","t","t","3","18-29","f","superieur","public"
"Voter 30203","(NP)","(NP)","0","0","(NP)","(NP)","(NP)","-1","","","1","Emmanuel Macron","f","t","","1","Emmanuel Macron","f","f","","Emmanuel Macron","t","t","t","t","4","50-59","f","secondaire","public"
"Voter 30204","2","(NP)","2","(NP)","(NP)","(NP)","-2","(NP)","","","-2","Benoît Hamon","f","f","J'ai choisi ce candidats par élimination des autres (le moins pire selon moi)","1","blanc","f","f","","Emmanuel Macron","t","t","t","t","5","30-39","h","superieur","prive"
"Voter 30205","1","(NP)","(NP)","1","(NP)","(NP)","(NP)","2","","","-2","Jean-Luc Mélenchon","f","t","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","t","f","f","0","40-49","f","superieur","public"
"Voter 30206","(NP)","1","(NP)","(NP)","1","(NP)","(NP)","1","","","-1","Benoît Hamon","t","f","","2","Benoît Hamon","f","f","","Emmanuel Macron","t","","t","","4","30-39","f","superieur","liberal"
"Voter 30207","1","(NP)","1","(NP)","(NP)","(NP)","(NP)","1","","","1","Emmanuel Macron","t","f","","2","Emmanuel Macron","f","f","","Emmanuel Macron","t","t","t","t","4","40-49","f","superieur","autre"
"Voter 30208","(NP)","2","(NP)","(NP)","0","(NP)","(NP)","0","","","-2","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","blanc","t","t","t","t","3","18-29","h","superieur","prive"
"Voter 30209","(NP)","0","(NP)","(NP)","0","(NP)","(NP)","1","","","-2","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","Je suis satisfait de mon choix","blanc","t","t","f","t","3","30-39","h","superieur","autre"
"Voter 30210","-1","(NP)","(NP)","(NP)","2","(NP)","1","(NP)","","","-2","abstention","t","f","","2","abstention","f","f","","abstention","t","f","f","f","3","30-39","h","superieur","prive"
"Voter 30211","(NP)","0","(NP)","(NP)","0","1","(NP)","(NP)","","","-2","Jean-Luc Mélenchon","f","t","","2","Jean-Luc Mélenchon","f","f","","ne se prononce pas","t","f","f","f","0","18-29","h","superieur","etudiant"
"Voter 30212","(NP)","(NP)","0","0","(NP)","1","(NP)","(NP)","","","-1","Emmanuel Macron","f","t","","1","ne se prononce pas","t","f","","Emmanuel Macron","t","f","t","f","5","30-39","h","superieur","prive"
"Voter 30213","1","(NP)","(NP)","(NP)","0","(NP)","(NP)","2","","","-1","Jean-Luc Mélenchon","f","t","","1","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","t","t","f","10","30-39","f","superieur","prive"
"Voter 30214","-1","(NP)","(NP)","1","(NP)","2","(NP)","(NP)","","","-2","Benoît Hamon","t","f","","2","Benoît Hamon","f","f","","Emmanuel Macron","t","t","t","t","2","18-29","h","superieur","liberal"
"Voter 30215","1","(NP)","(NP)","2","(NP)","0","(NP)","(NP)","","","-1","Jean-Luc Mélenchon","t","f","","2","","f","f","","blanc","t","f","t","t","0","18-29","f","superieur","etudiant"
"Voter 30216","(NP)","(NP)","1","1","(NP)","(NP)","(NP)","-1","","","0","Jean-Luc Mélenchon","t","t","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","t","t","t","3","18-29","h","superieur","chomage"
"Voter 30217","-1","(NP)","(NP)","1","(NP)","-1","(NP)","(NP)","","","0","Emmanuel Macron","f","f","","1","Emmanuel Macron","f","f","","Emmanuel Macron","t","t","t","t","5","40-49","f","superieur","public"
"Voter 30218","(NP)","1","(NP)","(NP)","1","(NP)","1","(NP)","","","-2","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","blanc","t","f","f","f","0","18-29","h","superieur","etudiant"
"Voter 30219","(NP)","-2","(NP)","(NP)","-2","(NP)","2","(NP)","","","-2","Jean-Luc Mélenchon","t","t","","2","Jean-Luc Mélenchon","f","f","","Marine Le Pen","t","t","t","t","5","18-29","h","superieur","chomage"
"Voter 30220","0","(NP)","1","(NP)","(NP)","1","(NP)","(NP)","","","1","Benoît Hamon","f","f","","1","Benoît Hamon","f","f","","Emmanuel Macron","t","t","","","1","+70","h","superieur","retraite"
"Voter 30221","(NP)","0","(NP)","(NP)","0","(NP)","(NP)","0","","","1","Emmanuel Macron","f","t","","-1","Benoît Hamon","t","f","","Emmanuel Macron","t","f","t","t","2","30-39","h","superieur","public"
"Voter 30222","(NP)","(NP)","1","-1","(NP)","(NP)","0","(NP)","","","-1","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","blanc","t","f","f","f","2","40-49","h","secondaire","prive"
"Voter 30223","(NP)","(NP)","-1","1","(NP)","(NP)","(NP)","-1","","","-1","Benoît Hamon","t","f","","-1","Jean-Luc Mélenchon","f","t","","ne se prononce pas","","t","t","t","3","18-29","f","superieur","etudiant"
"Voter 30224","2","(NP)","(NP)","(NP)","2","(NP)","2","(NP)","","","-2","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","blanc","t","t","t","t","2","18-29","f","superieur","public"
"Voter 30225","(NP)","0","(NP)","(NP)","0","(NP)","(NP)","1","","","1","Jean-Luc Mélenchon","f","f","Le plus de charisme, et le moins éloigné de mes idées et de la réalité.","1","Jean Lassalle","f","f","J aurais du voter pour un petit candidat plus proche de la réalité","Emmanuel Macron","t","t","t","","3","18-29","h","superieur","etudiant"
"Voter 30226","1","(NP)","(NP)","(NP)","0","(NP)","0","(NP)","","","-1","Benoît Hamon","t","f","","1","Benoît Hamon","f","f","","blanc","t","t","t","t","2","30-39","f","superieur","autre"
"Voter 30227","2","(NP)","(NP)","2","(NP)","(NP)","(NP)","2","","","-2","François Asselineau","t","f","","1","Marine Le Pen","t","f","","Marine Le Pen","t","t","t","t","9","30-39","h","superieur","prive"
"Voter 30228","-2","(NP)","(NP)","(NP)","1","-2","(NP)","(NP)","","","-2","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","blanc","","t","t","","0","30-39","f","superieur","public"
"Voter 30229","2","(NP)","(NP)","2","(NP)","(NP)","2","(NP)","","","-2","abstention","f","f","","-2","Jean-Luc Mélenchon","t","f","","Emmanuel Macron","t","t","t","t","0","18-29","h","superieur","prive"
"Voter 30230","","(NP)","(NP)","(NP)","","","(NP)","(NP)","","","","ne se prononce pas","f","f","","1","ne se prononce pas","f","f","","ne se prononce pas","","","","","","","","",""
"Voter 30231","1","(NP)","1","(NP)","(NP)","(NP)","(NP)","1","","","-2","abstention","f","f","","1","abstention","f","f","","abstention","t","f","f","f","5","18-29","h","superieur","etudiant"
"Voter 30232","1","(NP)","(NP)","2","(NP)","(NP)","(NP)","1","","","-1","Jean-Luc Mélenchon","f","t","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","t","t","t","0","30-39","h","superieur","prive"
"Voter 30233","1","(NP)","(NP)","(NP)","2","2","(NP)","(NP)","","","1","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","abstention","t","t","t","f","2","30-39","f","superieur","public"
"Voter 30234","2","(NP)","2","(NP)","(NP)","(NP)","(NP)","2","","","-2","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","abstention","t","f","f","f","2","18-29","h","superieur","etudiant"
"Voter 30235","-1","(NP)","(NP)","(NP)","1","1","(NP)","(NP)","","","","Marine Le Pen","t","f","","2","Marine Le Pen","f","f","","Marine Le Pen","","","","","","","","",""
"Voter 30236","0","(NP)","1","(NP)","(NP)","2","(NP)","(NP)","","","-1","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","f","t","t","5","18-29","h","superieur","etudiant"
"Voter 30237","1","(NP)","(NP)","(NP)","-1","(NP)","(NP)","2","","","-1","Jean-Luc Mélenchon","f","t","","2","Jean-Luc Mélenchon","f","f","","blanc","t","t","t","t","2","30-39","f","superieur","public"
"Voter 30238","(NP)","(NP)","1","1","(NP)","(NP)","-1","(NP)","","","-2","Benoît Hamon","t","f","","2","Benoît Hamon","f","f","","Emmanuel Macron","t","t","t","t","4","30-39","f","superieur","public"
"Voter 30239","","(NP)","","(NP)","(NP)","","(NP)","(NP)","","","-1","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","blanc","t","","","","5","40-49","h","secondaire","liberal"
"Voter 30240","-1","(NP)","2","(NP)","(NP)","1","(NP)","(NP)","","","2","François Fillon","t","f","","1","François Fillon","f","f","","Marine Le Pen","","t","","t","8","+70","h","secondaire","retraite"
"Voter 30241","1","(NP)","1","(NP)","(NP)","(NP)","(NP)","-1","","","-1","Emmanuel Macron","f","f","vote utile","1","Benoît Hamon","t","f","","Emmanuel Macron","t","t","t","t","2","40-49","f","superieur","public"
"Voter 30242","1","(NP)","(NP)","(NP)","1","(NP)","(NP)","1","","","-1","Jean-Luc Mélenchon","t","f","","1","Jean-Luc Mélenchon","f","f","","blanc","t","t","t","t","3","18-29","f","superieur","public"
"Voter 30243","(NP)","1","(NP)","(NP)","1","(NP)","","(NP)","","","1","Emmanuel Macron","t","f","C'est le candidat qui avait le plus de chances de battre largement l'extrême droite.","2","Emmanuel Macron","f","f","","Emmanuel Macron","t","t","t","t","4","30-39","f","superieur","public"
"Voter 30244","(NP)","0","(NP)","(NP)","0","(NP)","(NP)","1","","","-1","ne se prononce pas","t","f","","1","ne se prononce pas","f","f","","ne se prononce pas","t","t","t","t","2","18-29","f","superieur","etudiant"
"Voter 30245","1","(NP)","(NP)","0","(NP)","1","(NP)","(NP)","","","-1","Jean-Luc Mélenchon","f","t","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","t","t","t","1","30-39","h","superieur","prive"
"Voter 30246","2","(NP)","0","(NP)","(NP)","(NP)","-1","(NP)","","","-1","Jean-Luc Mélenchon","f","t","","2","Jean-Luc Mélenchon","f","f","","blanc","t","t","t","t","3","18-29","f","superieur","etudiant"
"Voter 30247","1","(NP)","(NP)","(NP)","0","2","(NP)","(NP)","","","-1","Emmanuel Macron","f","t","","1","","f","f","","Emmanuel Macron","t","t","t","t","3","30-39","h","superieur","public"
"Voter 30248","(NP)","(NP)","1","2","(NP)","0","(NP)","(NP)","","","-2","Philippe Poutou","t","f","","2","Philippe Poutou","f","f","","abstention","t","f","t","f","0","30-39","h","superieur","prive"
"Voter 30249","0","(NP)","(NP)","(NP)","0","1","(NP)","(NP)","","","-1","Jean Lassalle","t","f","","2","François Fillon","f","f","","Emmanuel Macron","t","t","t","t","8","30-39","h","superieur","prive"
"Voter 30250","(NP)","0","(NP)","(NP)","0","(NP)","(NP)","1","","","-1","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","blanc","t","f","f","t","1","18-29","h","superieur","prive"
"Voter 30251","2","(NP)","1","(NP)","(NP)","(NP)","(NP)","-1","","","-1","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","blanc","t","t","t","f","5","18-29","h","superieur","etudiant"
"Voter 30252","(NP)","(NP)","1","0","(NP)","1","(NP)","(NP)","","","-1","Emmanuel Macron","f","f","Vote utile...","1","Jean-Luc Mélenchon","t","f","","Emmanuel Macron","t","t","t","t","3","18-29","h","superieur","etudiant"
"Voter 30253","","(NP)","(NP)","","(NP)","","(NP)","(NP)","","","","Emmanuel Macron","t","f","","2","Emmanuel Macron","f","f","","Emmanuel Macron","t","t","t","t","5","","h","",""
"Voter 30254","1","(NP)","1","(NP)","(NP)","(NP)","(NP)","-1","","","-1","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","abstention","t","t","t","t","3","18-29","h","superieur","etudiant"
"Voter 30255","2","(NP)","(NP)","(NP)","1","(NP)","(NP)","-2","","","-2","Jean-Luc Mélenchon","f","f","","1","Benoît Hamon","t","f","","Emmanuel Macron","f","t","t","t","2","30-39","h","superieur","prive"
"Voter 30256","0","(NP)","(NP)","-1","(NP)","(NP)","1","(NP)","","","-2","Philippe Poutou","t","f","","2","Philippe Poutou","f","f","","Emmanuel Macron","t","f","","","0","18-29","h","secondaire","autre"
"Voter 30257","(NP)","","(NP)","(NP)","","1","(NP)","(NP)","","","1","Emmanuel Macron","t","t","","2","Emmanuel Macron","f","f","","Emmanuel Macron","t","t","t","t","5","30-39","h","superieur","prive"
"Voter 30258","-1","(NP)","(NP)","(NP)","0","1","(NP)","(NP)","","","-1","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","blanc","t","t","t","t","4","18-29","h","superieur","etudiant"
"Voter 30259","(NP)","1","(NP)","(NP)","0","2","(NP)","(NP)","","","1","Benoît Hamon","t","f","","-1","Jean-Luc Mélenchon","f","t","","Emmanuel Macron","t","t","f","t","3","30-39","f","superieur","public"
"Voter 30260","2","(NP)","2","(NP)","(NP)","(NP)","(NP)","0","","","-1","Benoît Hamon","t","f","La jonchere saint maurice","2","Benoît Hamon","f","f","","blanc","t","t","t","t","2","30-39","f","superieur","public"
