################################################################################
# Voter Autrement 2017
################################################################################
#
# This dataset Voter Autrement is made available under the Open Database
# License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in
# individual contents of the database are licensed under the Database
# Contents License: http://opendatacommons.org/licenses/dbcl/1.0/
#
# Antoinette Baujard, GATE Lyon Saint-Étienne, Université Jean Monnet, Saint-Étienne
# Renaud Blanch, LIG, Univ. Grenoble-Alpes
# Sylvain Bouveret, LIG, Univ. Grenoble-Alpes
# François Durand, LAMSADE, Université Paris-Dauphine
# Herrade Igersheim, CNRS, BETA, Université de Strasbourg
# Jérôme Lang, LAMSADE CNRS, Université Paris-Dauphine
# Annick Laruelle, UPV-EHU, Universidad del País Vasco
# Jean-François Laslier, CNRS, Paris School of Economics
# Isabelle Lebon, CREM, Universités Caen-Normandie et Rennes 1
# Vincent Merlin, CNRS, CREM, Universités Caen-Normandie et Rennes 1
#
################################################################################
#
# Dataset: Online experiment Questionnaire.
# Format: CSV with header
#
# The questionnaire filled-in by the participants at the end of the experiment (version
# proposed to the participants before the first round of the official election)
# For most questions, the participants were free not to answer at all (empty value)
# or explicitly they do not want to answer (value "nspp").
#
# * Column 1: Voter number
# * Colums 2-12: Appreciation of voting methods (-2, -1, 0, 1, 2) (NP) means that the
#   voter did not test this method. No value means that the voter did not answer.
#   - Column 2: Approval
#   - Column 3: Evaluation 0/1/2
#   - Column 4: Evaluation 0/1/2/3
#   - Column 5: Evaluation -1/0/1/2
#   - Column 6: Evaluation -1/0/1
#   - Column 7: Borda 4
#   - Column 8: STV 4-11
#   - Column 9: STV 1-11
#   - Column 10: Evaluation Continuous
#   - Column 11: Condorcet
#   - Column 12: two round majority
# * Column 13: what do you plan to do at the first round of the official election?
#   (vote for candidate X / blanc = blank / abstention = abstain / ni = I do not have the right to vote / nspp)
# * Column 14: vote is a right (t = yes / f = no)
# * Column 15: vote is a duty (t = yes / f = no)
# * Column 16: vote is a chance (t = yes / f = no)
# * Column 17: vote is useful (t = yes / f = no)
# * Column 18: evaluate your position on a left / right axis (0 = left ... 10 = right)
# * Column 19: age group (18-29, 30-39, 40-49, 50-59, 60-69, 70)
# * Column 20: gender (h = male / f = female)
# * Column 21: level of education (primaire = basic / secondaire = intermediate / superieur = higher)
# * Column 22: socio-professional category (liberal = "profession libérale", approximately self-employed
#   independent profession / prive = employee in the private sector /
#   public = employee in the public sector / chomage = unemployed / etudiant = student / autre = other)
#
################################################################################
Voter,Appreciation Approval,Appreciation Evaluation 0/1/2,Appreciation Evaluation 0/1/2/3,Appreciation Evaluation -1/0/1/2,Appreciation Evaluation -1/0/1,Appreciation Borda 4,Appreciation STV 4-11,Appreciation STV 1-11,Appreciation Evaluation Continuous,Appreciation Condorcet,Appreciation two round majority,official vote,vote is a right,vote is a duty,vote is a chance,vote is useful,left right,age,gender,studies,socioprofessional
Voter 3616,0,(NP),(NP),(NP),1,1,(NP),(NP),,,-2,blanc,t,f,t,f,,18-29,h,superieur,chomage
Voter 3617,0,(NP),(NP),(NP),0,(NP),(NP),0,,,0,Jean-Luc Mélenchon,t,f,f,f,2,18-29,h,superieur,prive
Voter 3618,(NP),0,(NP),(NP),0,(NP),0,(NP),,,0,Emmanuel Macron,t,t,t,t,5,18-29,h,superieur,etudiant
Voter 3619,0,(NP),0,(NP),(NP),(NP),2,(NP),,,-2,Benoît Hamon,t,f,t,t,1,30-39,h,superieur,prive
Voter 3620,0,(NP),(NP),1,(NP),1,(NP),(NP),,,1,Jean-Luc Mélenchon,t,t,t,t,2,50-59,h,superieur,prive
Voter 3621,1,(NP),(NP),(NP),0,(NP),1,(NP),,,-1,Jean-Luc Mélenchon,t,t,t,,4,40-49,f,superieur,autre
Voter 3622,(NP),(NP),1,1,(NP),1,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,3,40-49,f,superieur,liberal
Voter 3623,2,(NP),(NP),2,(NP),(NP),2,(NP),,,-2,Jean-Luc Mélenchon,t,t,f,f,2,18-29,h,superieur,prive
Voter 3624,-1,(NP),(NP),0,(NP),(NP),(NP),-2,,,-2,Jean-Luc Mélenchon,t,t,t,t,7,18-29,h,superieur,etudiant
Voter 3625,(NP),(NP),0,-1,(NP),(NP),(NP),2,,,-1,Philippe Poutou,t,f,t,t,0,18-29,f,superieur,liberal
Voter 3626,1,(NP),(NP),0,(NP),-1,(NP),(NP),,,0,Emmanuel Macron,t,t,t,t,6,60-69,h,superieur,retraite
Voter 3627,1,(NP),(NP),0,(NP),-1,(NP),(NP),,,-2,Emmanuel Macron,t,t,f,f,4,40-49,f,superieur,public
Voter 3628,(NP),(NP),0,0,(NP),(NP),0,(NP),,,1,Emmanuel Macron,t,t,t,t,5,30-39,f,superieur,nspp
Voter 3629,(NP),1,(NP),(NP),2,-1,(NP),(NP),,,0,Jean-Luc Mélenchon,t,,,,3,40-49,h,superieur,prive
Voter 3630,(NP),(NP),2,1,(NP),(NP),1,(NP),,,-2,Benoît Hamon,t,t,t,t,2,30-39,f,superieur,prive
Voter 3631,1,(NP),(NP),(NP),-1,(NP),-1,(NP),,,1,Benoît Hamon,t,t,t,t,3,50-59,f,superieur,public
Voter 3632,(NP),(NP),1,2,(NP),(NP),1,(NP),,,0,Benoît Hamon,t,t,t,t,3,30-39,h,superieur,prive
Voter 3633,(NP),1,(NP),(NP),1,(NP),(NP),1,,,-1,Emmanuel Macron,t,f,t,t,6,18-29,h,superieur,prive
Voter 3634,2,(NP),-1,(NP),(NP),(NP),2,(NP),,,0,Jean-Luc Mélenchon,t,t,t,,5,18-29,h,superieur,prive
Voter 3635,(NP),1,(NP),(NP),0,(NP),1,(NP),,,-2,Benoît Hamon,t,f,t,t,2,30-39,h,secondaire,prive
Voter 3636,1,(NP),(NP),(NP),-1,(NP),-1,(NP),,,-1,Emmanuel Macron,t,t,t,t,4,18-29,h,superieur,prive
Voter 3637,1,(NP),-1,(NP),(NP),(NP),(NP),1,,,-1,Emmanuel Macron,t,f,t,t,5,18-29,h,superieur,prive
Voter 3638,2,(NP),2,(NP),(NP),(NP),(NP),1,,,-1,Benoît Hamon,t,t,t,t,2,30-39,h,superieur,prive
Voter 3639,(NP),(NP),1,2,(NP),(NP),2,(NP),,,-2,Jean-Luc Mélenchon,t,t,t,f,1,18-29,h,superieur,prive
Voter 3640,1,(NP),1,(NP),(NP),-1,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,t,t,t,3,30-39,h,superieur,liberal
Voter 3641,1,(NP),(NP),0,(NP),(NP),(NP),2,,,-1,Benoît Hamon,t,t,t,f,3,50-59,f,superieur,prive
Voter 3642,(NP),(NP),1,2,(NP),(NP),-1,(NP),,,-2,Jean-Luc Mélenchon,t,f,t,f,2,30-39,h,superieur,prive
Voter 3643,1,(NP),(NP),(NP),-1,1,(NP),(NP),,,0,Jean-Luc Mélenchon,t,t,t,t,2,30-39,h,superieur,public
Voter 3644,(NP),(NP),1,1,(NP),(NP),(NP),2,,,-2,Jean-Luc Mélenchon,t,t,t,t,1,40-49,f,superieur,autre
Voter 3645,1,(NP),(NP),2,(NP),(NP),(NP),-1,,,-2,abstention,t,f,t,f,0,40-49,h,superieur,prive
Voter 3646,2,(NP),0,(NP),(NP),(NP),(NP),2,,,-2,Jean-Luc Mélenchon,t,t,t,f,0,30-39,h,superieur,liberal
Voter 3647,1,(NP),2,(NP),(NP),(NP),-1,(NP),,,-1,incertitude,t,t,,f,5,18-29,f,superieur,etudiant
Voter 3648,(NP),(NP),1,1,(NP),(NP),(NP),1,,,-2,Jean-Luc Mélenchon,t,t,t,t,2,40-49,f,superieur,liberal
Voter 3649,(NP),1,(NP),(NP),2,1,(NP),(NP),,,-1,incertitude,t,f,t,t,4,30-39,h,superieur,prive
Voter 3650,1,(NP),(NP),2,(NP),1,(NP),(NP),,,2,Benoît Hamon,t,t,t,t,2,40-49,f,superieur,public
Voter 3651,(NP),-1,(NP),(NP),-1,-1,(NP),(NP),,,-2,blanc,t,f,t,t,0,30-39,h,superieur,prive
Voter 3652,0,(NP),(NP),0,(NP),(NP),(NP),1,,,-1,Benoît Hamon,t,t,t,t,3,40-49,h,superieur,prive
Voter 3653,1,(NP),1,(NP),(NP),1,(NP),(NP),,,1,Emmanuel Macron,t,t,t,t,5,30-39,h,superieur,prive
Voter 3654,1,(NP),-1,(NP),(NP),(NP),1,(NP),,,1,Emmanuel Macron,t,t,t,t,2,40-49,h,superieur,liberal
Voter 3655,(NP),1,(NP),(NP),1,(NP),0,(NP),,,0,Emmanuel Macron,t,t,t,t,1,30-39,f,superieur,liberal
Voter 3656,-1,(NP),2,(NP),(NP),2,(NP),(NP),,,-2,Nicolas Dupont-Aignan,t,t,t,t,7,40-49,h,superieur,prive
Voter 3657,-2,(NP),(NP),-2,(NP),(NP),-2,(NP),,,-2,Philippe Poutou,t,f,f,f,0,40-49,h,superieur,public
Voter 3658,1,(NP),(NP),(NP),-1,(NP),(NP),-1,,,0,Benoît Hamon,t,t,t,f,3,40-49,f,superieur,public
Voter 3659,1,(NP),(NP),(NP),1,1,(NP),(NP),,,0,Jean-Luc Mélenchon,t,t,t,t,9,18-29,h,superieur,public
Voter 3660,,(NP),(NP),,(NP),,(NP),(NP),,,,Jean-Luc Mélenchon,t,f,t,t,2,40-49,h,superieur,public
Voter 3661,(NP),(NP),2,2,(NP),-1,(NP),(NP),,,-2,Emmanuel Macron,t,f,t,t,3,30-39,h,superieur,prive
Voter 3662,(NP),(NP),1,-1,(NP),(NP),1,(NP),,,2,Benoît Hamon,t,t,t,t,1,30-39,h,superieur,prive
Voter 3663,(NP),(NP),1,1,(NP),1,(NP),(NP),,,-2,Philippe Poutou,t,f,t,,1,40-49,h,superieur,prive
Voter 3664,1,(NP),(NP),(NP),0,(NP),(NP),-1,,,-1,Jean-Luc Mélenchon,t,f,t,t,2,30-39,f,superieur,prive
Voter 3665,(NP),0,(NP),(NP),0,(NP),(NP),0,,,-1,Benoît Hamon,t,t,t,t,3,40-49,h,superieur,liberal
Voter 3666,0,(NP),(NP),0,(NP),(NP),0,(NP),,,-1,Jean-Luc Mélenchon,t,t,,f,4,50-59,f,superieur,public
Voter 3667,(NP),(NP),-2,-2,(NP),(NP),(NP),-2,,,-2,Benoît Hamon,t,f,f,f,2,18-29,nspp,superieur,prive
Voter 3668,(NP),(NP),1,1,(NP),(NP),1,(NP),,,1,Emmanuel Macron,t,t,t,t,7,40-49,h,superieur,prive
Voter 3669,(NP),-1,(NP),(NP),1,-1,(NP),(NP),,,1,Jean-Luc Mélenchon,,f,t,t,1,30-39,h,superieur,liberal
Voter 3670,(NP),0,(NP),(NP),-1,(NP),1,(NP),,,1,incertitude,t,t,f,t,3,30-39,h,superieur,prive
Voter 3671,(NP),1,(NP),(NP),1,(NP),-1,(NP),,,-1,Benoît Hamon,t,t,t,,2,30-39,f,superieur,liberal
Voter 3672,2,(NP),-1,(NP),(NP),(NP),(NP),1,,,-1,Emmanuel Macron,t,f,f,f,3,18-29,h,superieur,prive
Voter 3673,0,(NP),(NP),(NP),-1,(NP),1,(NP),,,-1,Jean-Luc Mélenchon,t,f,t,f,2,30-39,h,superieur,prive
Voter 3674,1,(NP),(NP),(NP),-1,-1,(NP),(NP),,,1,Emmanuel Macron,t,,t,,4,30-39,f,superieur,public
Voter 3675,1,(NP),(NP),(NP),-2,(NP),-1,(NP),,,-1,blanc,t,f,t,f,1,18-29,f,secondaire,prive
Voter 3676,1,(NP),(NP),0,(NP),(NP),(NP),2,,,-2,Benoît Hamon,t,t,t,t,3,40-49,h,,public
Voter 3677,(NP),1,(NP),(NP),0,-1,(NP),(NP),,,1,Benoît Hamon,t,t,t,t,1,40-49,f,superieur,prive
Voter 3678,(NP),0,(NP),(NP),0,1,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,3,18-29,h,superieur,public
Voter 3679,(NP),0,(NP),(NP),1,(NP),1,(NP),,,-1,Philippe Poutou,t,t,f,t,3,18-29,h,superieur,prive
Voter 3680,(NP),0,(NP),(NP),1,(NP),(NP),0,,,0,Jean-Luc Mélenchon,t,t,t,f,2,18-29,f,superieur,prive
Voter 3681,(NP),(NP),-1,0,(NP),0,(NP),(NP),,,0,abstention,t,f,t,f,8,50-59,h,superieur,prive
Voter 3682,(NP),-2,(NP),(NP),-2,(NP),-2,(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,3,18-29,h,superieur,public
Voter 3683,0,(NP),(NP),1,(NP),(NP),1,(NP),,,0,Jean-Luc Mélenchon,t,f,t,t,2,18-29,h,superieur,liberal
Voter 3684,1,(NP),1,(NP),(NP),1,(NP),(NP),,,0,incertitude,t,t,t,f,3,30-39,f,superieur,liberal
Voter 3685,(NP),1,(NP),(NP),1,(NP),1,(NP),,,-1,Jean-Luc Mélenchon,t,f,t,t,0,40-49,h,superieur,prive
Voter 3686,(NP),0,(NP),(NP),1,-1,(NP),(NP),,,-1,Benoît Hamon,t,t,t,,2,30-39,f,superieur,public
Voter 3687,(NP),(NP),0,0,(NP),1,(NP),(NP),,,1,Jean-Luc Mélenchon,t,t,t,,2,40-49,f,superieur,public
Voter 3688,1,(NP),(NP),2,(NP),(NP),(NP),1,,,-1,Jean-Luc Mélenchon,t,t,t,t,1,40-49,h,superieur,public
Voter 3689,1,(NP),(NP),(NP),2,(NP),(NP),0,,,-2,Emmanuel Macron,t,f,t,t,5,18-29,h,superieur,etudiant
Voter 3690,0,(NP),(NP),(NP),-1,(NP),(NP),0,,,,Nicolas Dupont-Aignan,t,f,t,t,7,30-39,h,nspp,prive
Voter 3691,(NP),(NP),1,0,(NP),(NP),(NP),1,,,-1,Jean-Luc Mélenchon,t,t,f,t,2,30-39,h,superieur,chomage
Voter 3692,1,(NP),1,(NP),(NP),(NP),0,(NP),,,-1,Benoît Hamon,t,t,f,t,2,40-49,h,nspp,nspp
Voter 3693,(NP),1,(NP),(NP),2,(NP),(NP),1,,,1,Jean-Luc Mélenchon,t,t,t,t,3,18-29,f,superieur,liberal
Voter 3694,(NP),0,(NP),(NP),1,-1,(NP),(NP),,,-2,abstention,t,f,t,f,2,18-29,h,superieur,prive
Voter 3695,(NP),,(NP),(NP),,(NP),,(NP),,,,Emmanuel Macron,t,t,t,t,7,18-29,f,superieur,autre
Voter 3696,1,(NP),(NP),-1,(NP),1,(NP),(NP),,,-1,abstention,t,f,t,f,7,30-39,h,superieur,prive
Voter 3697,2,(NP),(NP),(NP),2,(NP),2,(NP),,,1,Jean-Luc Mélenchon,t,t,t,t,4,18-29,h,superieur,prive
Voter 3698,(NP),0,(NP),(NP),0,(NP),(NP),0,,,-1,Jean-Luc Mélenchon,t,f,t,t,0,18-29,h,superieur,etudiant
Voter 3699,(NP),0,(NP),(NP),0,(NP),(NP),1,,,0,François Fillon,t,t,t,t,5,30-39,h,superieur,prive
Voter 3700,(NP),-1,(NP),(NP),-1,(NP),(NP),-1,,,-1,Jean-Luc Mélenchon,t,t,t,t,2,50-59,f,superieur,public
Voter 3701,(NP),(NP),0,0,(NP),-1,(NP),(NP),,,-1,Emmanuel Macron,t,t,f,t,6,30-39,h,superieur,liberal
Voter 3702,(NP),1,(NP),(NP),1,1,(NP),(NP),,,-1,Benoît Hamon,t,t,t,t,3,18-29,h,superieur,etudiant
Voter 3703,(NP),1,(NP),(NP),1,(NP),(NP),-2,,,0,ne se prononce pas,t,t,t,f,5,30-39,f,superieur,nspp
Voter 3704,-1,(NP),(NP),1,(NP),(NP),1,(NP),,,-1,incertitude,t,t,t,f,1,18-29,h,superieur,prive
Voter 3705,-1,(NP),(NP),-1,(NP),(NP),(NP),0,,,0,blanc,t,t,t,t,2,30-39,f,superieur,autre
Voter 3706,1,(NP),(NP),(NP),-1,-1,(NP),(NP),,,-2,abstention,t,f,t,f,,40-49,h,superieur,liberal
Voter 3707,-1,(NP),(NP),(NP),2,(NP),(NP),1,,,-1,Emmanuel Macron,t,t,t,t,3,18-29,h,superieur,etudiant
Voter 3708,0,(NP),(NP),(NP),1,(NP),0,(NP),,,-1,Jean-Luc Mélenchon,t,,,f,3,30-39,h,superieur,public
Voter 3709,(NP),-1,(NP),(NP),-1,(NP),-1,(NP),,,1,Emmanuel Macron,t,t,t,t,5,40-49,h,superieur,prive
Voter 3710,1,(NP),(NP),2,(NP),(NP),(NP),2,,,-1,Jean-Luc Mélenchon,t,t,t,f,4,18-29,h,superieur,prive
Voter 3711,0,(NP),(NP),(NP),0,(NP),0,(NP),,,-2,Emmanuel Macron,t,t,t,t,5,18-29,h,superieur,etudiant
Voter 3712,(NP),(NP),-1,-1,(NP),1,(NP),(NP),,,-1,Emmanuel Macron,t,f,t,t,4,18-29,h,superieur,prive
Voter 3713,1,(NP),(NP),2,(NP),(NP),1,(NP),,,-2,Jean-Luc Mélenchon,t,f,t,f,2,18-29,h,superieur,liberal
Voter 3714,(NP),(NP),0,1,(NP),0,(NP),(NP),,,-2,Benoît Hamon,t,t,t,t,2,30-39,h,superieur,prive
Voter 3715,1,(NP),(NP),0,(NP),(NP),2,(NP),,,1,Emmanuel Macron,t,t,t,t,1,18-29,h,superieur,etudiant
Voter 3716,-1,(NP),-1,(NP),(NP),(NP),0,(NP),,,1,Benoît Hamon,t,t,t,t,3,18-29,f,superieur,public
Voter 3717,0,(NP),(NP),(NP),0,0,(NP),(NP),,,0,Emmanuel Macron,t,t,t,t,5,30-39,f,superieur,liberal
Voter 3718,0,(NP),(NP),(NP),-1,0,(NP),(NP),,,-1,Benoît Hamon,t,f,t,f,3,30-39,h,superieur,public
Voter 3719,(NP),(NP),-2,-2,(NP),(NP),-2,(NP),,,1,Benoît Hamon,t,t,t,t,2,18-29,f,superieur,public
Voter 3720,1,(NP),(NP),(NP),-1,(NP),1,(NP),,,-1,abstention,t,,t,t,0,30-39,h,superieur,public
Voter 3721,1,(NP),(NP),(NP),0,-2,(NP),(NP),,,0,Emmanuel Macron,t,t,t,t,4,30-39,f,superieur,public
Voter 3722,1,(NP),(NP),2,(NP),(NP),0,(NP),,,-2,Jean-Luc Mélenchon,t,f,t,t,1,50-59,h,superieur,prive
Voter 3723,1,(NP),(NP),(NP),1,(NP),(NP),1,,,-2,Emmanuel Macron,t,f,t,t,4,18-29,h,superieur,prive
Voter 3724,(NP),(NP),1,1,(NP),1,(NP),(NP),,,-1,Benoît Hamon,t,t,t,t,2,40-49,f,superieur,public
Voter 3725,(NP),(NP),0,1,(NP),(NP),1,(NP),,,-1,incertitude,t,,,f,1,18-29,f,superieur,prive
Voter 3726,(NP),-1,(NP),(NP),-1,-2,(NP),(NP),,,1,incertitude,t,f,t,t,3,30-39,h,superieur,public
Voter 3727,0,(NP),-2,(NP),(NP),(NP),(NP),-1,,,0,Benoît Hamon,t,t,t,f,3,18-29,h,superieur,etudiant
Voter 3728,(NP),(NP),1,1,(NP),(NP),1,(NP),,,-1,Nicolas Dupont-Aignan,t,t,t,t,8,40-49,h,superieur,prive
Voter 3729,1,(NP),(NP),-2,(NP),(NP),(NP),1,,,1,Jean-Luc Mélenchon,t,f,f,f,2,40-49,h,superieur,public
Voter 3730,(NP),1,(NP),(NP),1,(NP),(NP),2,,,-1,Benoît Hamon,t,f,t,t,2,30-39,h,superieur,prive
Voter 3731,1,(NP),(NP),2,(NP),(NP),(NP),1,,,-2,incertitude,t,t,t,t,3,30-39,h,superieur,autre
Voter 3732,1,(NP),(NP),(NP),1,(NP),(NP),1,,,-1,Jean-Luc Mélenchon,t,t,t,t,1,30-39,h,superieur,public
Voter 3733,1,(NP),(NP),(NP),-1,(NP),1,(NP),,,-1,Benoît Hamon,t,t,t,f,2,18-29,h,superieur,public
Voter 3734,2,(NP),(NP),(NP),1,(NP),-1,(NP),,,-1,Benoît Hamon,t,t,t,t,2,40-49,f,superieur,chomage
Voter 3735,(NP),1,(NP),(NP),0,(NP),2,(NP),,,0,Emmanuel Macron,t,f,t,f,4,18-29,h,superieur,etudiant
Voter 3736,0,(NP),(NP),(NP),-1,(NP),(NP),1,,,-2,Jean-Luc Mélenchon,t,f,t,t,1,18-29,h,superieur,prive
Voter 3737,1,(NP),2,(NP),(NP),(NP),(NP),0,,,-2,Jean-Luc Mélenchon,t,t,t,t,1,50-59,h,superieur,public
Voter 3738,(NP),1,(NP),(NP),1,(NP),(NP),,,,-2,Nathalie Arthaud,t,,,t,,30-39,f,nspp,nspp
Voter 3739,1,(NP),(NP),(NP),-1,(NP),(NP),0,,,0,Jean-Luc Mélenchon,,t,,,2,18-29,h,nspp,nspp
Voter 3740,(NP),(NP),1,1,(NP),(NP),2,(NP),,,-2,Jean-Luc Mélenchon,t,f,t,f,1,18-29,h,superieur,prive
Voter 3741,1,(NP),(NP),-1,(NP),(NP),1,(NP),,,-1,Emmanuel Macron,t,t,t,f,5,30-39,h,superieur,public
Voter 3742,(NP),(NP),1,1,(NP),(NP),-1,(NP),,,0,Emmanuel Macron,t,t,t,t,6,18-29,h,superieur,prive
Voter 3743,-1,(NP),0,(NP),(NP),0,(NP),(NP),,,1,incertitude,t,t,t,t,4,30-39,f,superieur,public
Voter 3744,1,(NP),1,(NP),(NP),(NP),2,(NP),,,-1,Emmanuel Macron,t,t,t,t,4,40-49,h,superieur,public
Voter 3745,-2,(NP),-2,(NP),(NP),(NP),-2,(NP),,,-2,Marine Le Pen,t,t,t,t,5,40-49,h,nspp,public
Voter 3746,1,(NP),(NP),(NP),1,2,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,t,t,t,3,30-39,h,superieur,public
Voter 3747,1,(NP),2,(NP),(NP),(NP),(NP),1,,,-2,Jean-Luc Mélenchon,t,,t,f,0,18-29,h,superieur,public
Voter 3748,(NP),(NP),0,-1,(NP),1,(NP),(NP),,,-2,Nicolas Dupont-Aignan,t,t,t,t,7,18-29,f,superieur,etudiant
Voter 3749,1,(NP),0,(NP),(NP),(NP),1,(NP),,,-2,Jean-Luc Mélenchon,t,f,,f,2,18-29,h,superieur,public
Voter 3750,(NP),-1,(NP),(NP),1,1,(NP),(NP),,,-1,Emmanuel Macron,t,t,t,t,1,40-49,h,secondaire,chomage
Voter 3751,2,(NP),1,(NP),(NP),(NP),1,(NP),,,-2,Benoît Hamon,t,t,t,t,2,18-29,f,superieur,etudiant
Voter 3752,1,(NP),(NP),(NP),1,1,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,f,t,f,2,18-29,nspp,superieur,etudiant
Voter 3753,1,(NP),-1,(NP),(NP),(NP),(NP),1,,,-1,Benoît Hamon,t,,t,,3,50-59,f,superieur,liberal
Voter 3754,-2,(NP),-2,(NP),(NP),(NP),(NP),-2,,,-2,Nathalie Arthaud,t,t,,f,,40-49,h,superieur,public
Voter 3755,1,(NP),1,(NP),(NP),(NP),(NP),1,,,0,Jean-Luc Mélenchon,t,t,,,2,50-59,h,superieur,public
Voter 3756,(NP),(NP),1,1,(NP),(NP),1,(NP),,,,Benoît Hamon,t,t,t,t,3,18-29,h,superieur,etudiant
Voter 3757,2,(NP),(NP),(NP),1,(NP),0,(NP),,,-1,Jean-Luc Mélenchon,t,f,t,t,2,30-39,h,superieur,liberal
Voter 3758,,(NP),(NP),(NP),,(NP),(NP),,,,0,Emmanuel Macron,t,t,t,t,3,40-49,f,superieur,public
Voter 3759,1,(NP),(NP),-1,(NP),(NP),1,(NP),,,-1,Benoît Hamon,t,t,t,t,3,40-49,h,superieur,liberal
Voter 3760,0,(NP),(NP),(NP),0,0,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,f,t,t,1,30-39,h,superieur,public
Voter 3761,-1,(NP),(NP),-1,(NP),(NP),1,(NP),,,-1,Emmanuel Macron,t,t,t,t,3,18-29,h,superieur,etudiant
Voter 3762,1,(NP),(NP),(NP),-1,(NP),2,(NP),,,-2,Jean-Luc Mélenchon,t,t,t,t,0,18-29,f,superieur,public
Voter 3763,(NP),(NP),1,1,(NP),(NP),(NP),0,,,1,Emmanuel Macron,t,t,t,t,5,18-29,f,superieur,public
Voter 3764,1,(NP),0,(NP),(NP),(NP),(NP),1,,,-1,Jean-Luc Mélenchon,t,t,f,t,5,30-39,h,superieur,public
Voter 3765,(NP),1,(NP),(NP),1,(NP),0,(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,2,40-49,h,superieur,prive
Voter 3766,1,(NP),(NP),(NP),1,1,(NP),(NP),,,0,Emmanuel Macron,t,t,t,f,4,18-29,h,superieur,prive
Voter 3767,(NP),(NP),0,0,(NP),(NP),(NP),0,,,-2,abstention,t,f,t,f,0,30-39,h,superieur,prive
Voter 3768,(NP),(NP),,,(NP),(NP),,(NP),,,,Emmanuel Macron,,t,,,4,18-29,h,superieur,etudiant
Voter 3769,0,(NP),1,(NP),(NP),1,(NP),(NP),,,1,Jean-Luc Mélenchon,t,t,t,t,4,18-29,h,superieur,prive
Voter 3770,(NP),(NP),-1,-1,(NP),(NP),(NP),2,,,,Emmanuel Macron,t,t,t,t,5,18-29,h,superieur,etudiant
Voter 3771,1,(NP),1,(NP),(NP),2,(NP),(NP),,,-2,Benoît Hamon,t,f,t,f,3,nspp,nspp,nspp,nspp
Voter 3772,1,(NP),(NP),(NP),,(NP),(NP),,,,,incertitude,t,t,t,f,1,18-29,h,superieur,public
Voter 3773,(NP),0,(NP),(NP),0,0,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,f,,,0,30-39,h,superieur,public
Voter 3774,1,(NP),2,(NP),(NP),2,(NP),(NP),,,,Jean-Luc Mélenchon,t,t,t,t,8,30-39,f,superieur,
Voter 3775,-2,(NP),(NP),-2,(NP),(NP),(NP),-2,,,-2,abstention,t,f,t,f,4,40-49,h,superieur,public
Voter 3776,(NP),,(NP),(NP),,(NP),,(NP),,,-2,Emmanuel Macron,t,f,t,t,1,30-39,h,superieur,chomage
Voter 3777,(NP),(NP),0,0,(NP),0,(NP),(NP),,,1,Jean-Luc Mélenchon,t,t,t,,3,40-49,h,superieur,public
Voter 3778,(NP),(NP),0,1,(NP),(NP),(NP),-1,,,-2,Jean-Luc Mélenchon,t,f,t,t,5,18-29,h,superieur,etudiant
Voter 3779,1,(NP),(NP),1,(NP),1,(NP),(NP),,,-1,Emmanuel Macron,t,f,t,t,3,30-39,h,superieur,public
Voter 3780,(NP),2,(NP),(NP),-1,1,(NP),(NP),,,-2,abstention,t,t,t,f,4,30-39,h,superieur,prive
Voter 3781,(NP),1,(NP),(NP),1,(NP),(NP),2,,,0,Jean-Luc Mélenchon,t,t,t,t,2,18-29,h,superieur,etudiant
Voter 3782,1,(NP),(NP),(NP),1,(NP),2,(NP),,,-2,Benoît Hamon,t,t,t,t,3,18-29,h,superieur,prive
Voter 3783,(NP),(NP),0,0,(NP),(NP),(NP),0,,,0,Benoît Hamon,t,f,t,t,3,18-29,h,superieur,etudiant
Voter 3784,1,(NP),(NP),0,(NP),(NP),1,(NP),,,-1,Benoît Hamon,t,t,t,t,2,60-69,h,superieur,public
Voter 3785,1,(NP),(NP),0,(NP),(NP),(NP),2,,,-2,Jean-Luc Mélenchon,t,t,t,t,2,30-39,h,superieur,public
Voter 3786,(NP),0,(NP),(NP),0,(NP),0,(NP),,,0,Jean-Luc Mélenchon,t,t,f,f,2,18-29,h,superieur,etudiant
Voter 3787,1,(NP),0,(NP),(NP),(NP),-1,(NP),,,1,Emmanuel Macron,t,t,t,t,3,40-49,f,nspp,public
Voter 3788,(NP),(NP),0,1,(NP),(NP),(NP),2,,,-1,Jean-Luc Mélenchon,t,f,t,f,1,30-39,h,superieur,liberal
Voter 3789,0,(NP),0,(NP),(NP),(NP),(NP),0,,,1,François Fillon,t,t,t,t,8,40-49,h,superieur,nspp
Voter 3790,(NP),(NP),1,1,(NP),(NP),(NP),1,,,-1,Benoît Hamon,t,f,t,t,2,18-29,h,superieur,etudiant
